編號,用人機關類別 / 名稱,地點,職缺數
1,政府部門 / 基隆市政府民政處(基隆市原住民文化會館),基隆市中正區正濱路116巷75號,3 
2,文化健康站 / 基隆市原住民族婦女關懷協會(基隆文化健康站),基隆市中正區正濱路116巷75號5樓,1 
3,非營利組織 / 基隆市都會區原住民族家庭服務中心,基隆市中正區正濱路116巷75號2樓,1 
4,非營利組織 / 臺灣原住民族社會福利工作發展協會,基隆市中正區正濱路116巷75號2樓,2 
5,政府部門 / 中央研究院民族學研究所博物館,中央研究院民族學研究所博物館,2 
6,原住民族機構 / 台灣瑪拉斯藝品有限公司,臺北市北投區中山路3-1號,1 
7,受政府捐助之財團法人 / 財團法人中央通訊社,臺北市中山區松江路209號,1 
8,非營利組織 / 財團法人育成社會福利基金會,臺北市信義區大道路116之2號1樓,1 
9,受政府捐助之財團法人 / 財團法人臺北市文化基金會,臺北市北投區七星街一號,1 
10,受政府捐助之財團法人 / 財團法人臺北市錫瑠環境綠化基金會,臺北市信義區松平路135-1號,1 
11,原住民族機構 / 尋根部落生命有限公司,臺北市中正區懷寧街82號,2 
12,政府部門 / 臺北市政府原住民族事務委員會,臺北市政府原住民族事務委員會,2 
13,政府部門 / 臺北市榮民服務處,臺北市松山區光復北路1號,2 
14,政府部門 / 臺灣高等法院,臺北市萬華區貴陽街二段26號4樓,3 
15,超額進用原住民族廠商 / 舞動陽光股份有限公司,萬興國小、師大附中、成德國中、中正運動中心,8 
16,文化健康站 / 台灣原動力照護關懷協會,台灣原動力照護關懷協會,- 
17,非營利組織 / 社團法人台灣葡萄園社會關懷協會,社團法人台灣葡萄園社會關懷協會,- 
18,非營利組織 / 社團法人新北市慷慨關懷協會,社團法人新北市慷慨關懷協會,1 
19,文化健康站 / 北都蘭部落文化藝術團,旅北都蘭部落文化藝術團,2 
20,受政府捐助之財團法人 / 財團法人中國生產力中心,財團法人中國生產力中心,1 
21,原住民族機構 / 越方實業有限公司,越方實業有限公司,- 
22,政府部門 / 新北市中和戶政事務所,新北市中和戶政事務所,- 
23,政府部門 / 新北市五股戶政事務所,新北市五股戶政事務所,- 
24,非營利組織 / 新北市乒夢桌球協會,新北市乒夢桌球協會,1 
25,政府部門 / 新北市政府工務局,新北市政府工務局,- 
26,政府部門 / 新北市政府文化局,新北市政府文化局(坪林茶業博物館、新店分館),3 
27,政府部門 / 新北市政府地政局,新北市政府地政局,1 
28,政府部門 / 新北市政府稅捐稽徵處,新北市政府稅捐稽徵處(處本部及各分處),6 
29,文化健康站 / 新北市原住民原老文化關懷協會,新北市原住民原老文化關懷協會,- 
30,文化健康站 / 新北市原住民家庭關懷協會,新北市原住民家庭關懷協會,1 
31,文化健康站 / 新北市原住民婦女服務協會,新北市原住民婦女服務協會,1 
32,政府部門 / 新北市烏來區公所,新北市烏來區新烏路5段111號,2 
33,文化健康站 / 新北市烏來區福山社區發展協會,新北市烏來區福山社區發展協會,1 
34,政府部門 / 新北市烏來區衛生所,新北市烏來區新烏路5段109號,2 
35,非營利組織 / 新北市烏來區衛生促進會,新北市烏來區新烏路五段109號,1 
36,政府部門 / 新北市淡水戶政事務所,新北市淡水戶政事務所,1 
37,政府部門 / 新北市淡水區公所,新北市淡水區公所,- 
38,政府部門 / 新北市新莊戶政事務所,新北市新莊戶政事務所,- 
39,非營利組織 / 新北市瑞芳老街文化觀光推展協會,新北市瑞芳老街文化觀光推展協會,- 
40,文化健康站 / 新北市樹林區原住民族發展協進會,新北市樹林區原住民族發展協進會,1 
41,非營利組織 / 臺灣原住民教育經濟發展協會,臺灣原住民教育經濟發展協會,1 
42,非營利組織 / 臺灣原住民族社會福利工作發展協會,臺灣原住民族社會福利工作發展協會,2 
43,超額進用原住民族廠商 / 舞動陽光股份有限公司,馬公公園運動中心、泰山運動中心,3 
44,原住民族機構 / 橡陽科技事業有限公司,橡陽科技事業有限公司,2 
45,文化健康站 / 豐年文化藝術團,豐年文化藝術團,1 
46,原住民族機構 / 山腳狗娛樂,山腳狗娛樂,1 
47,非營利組織 / 中華電力技術人員培訓協會,中華電力技術人員培訓協會,- 
48,文化健康站 / 台灣山海根原發展協會,加拉文化健康站,- 
49,非營利組織 / 台灣原住民迴廊協會,台灣原住民迴廊協會,- 
50,文化健康站 / 台灣原住民愛加倍文教關懷協會,溪口台文化健康站,- 
51,原住民族機構 / 彼心社會企業有限公司,彼心社會企業有限公司,- 
52,文化健康站 / 桃園市以便以謝全人關懷協會,比雅山文健站,1 
53,文化健康站 / 桃園市以斯帖文化教育協會,南港里文健站,- 
54,文化健康站 / 桃園市光復原住民文教發展協會,中壢文健站、平鎮文健站,3 
55,政府部門 / 桃園市政府原住民族行政局,原民福利科、教育文化科等,7 
56,文化健康站 / 桃園市原住民長期照顧推動協會,新屋文健站、楊梅文健站,2 
57,文化健康站 / 桃園市原住民婦女音樂協會,協會、八德文健站,2 
58,非營利組織 / 桃園市原住民族多元發展協會,桃園市原住民族多元發展協會,- 
